Index,original_title,production_budget,worldwide_gross,imbd_id,budget,revenue,genres,producers,director,starring
1,Pirates of the Caribbean: On Stranger Tides,379000000,1045713802,tt1298650,380000000,1045713802,Adventure,Jerry Bruckheimer,Rob Marshall,Johnny Depp
2,Avengers: Age of Ultron,365000000,1395316979,tt2395427,280000000,1405403694,Action,Kevin Feige,Joss Whedon,Robert Downey Jr.
6,Justice League,300000000,655945209,tt0974015,300000000,657900000,Action,Charles Roven,Deborah Snyder,Jon Berg
11,John Carter,263700000,282778100,tt0401729,260000000,284139100,Action,Jim Morris,Colin Wilson,Lindsey Collins
12,Batman v Superman: Dawn of Justice,263000000,872395091,tt2975590,250000000,873260194,Action,Charles Roven,Deborah Snyder,Zack Snyder
14,The Lion King,260000000,1651023152,tt0110357,45000000,788241776,Family,Don Hahn,Roger Allers,Rob Minkoff
15,Tangled,260000000,584899819,tt0398286,260000000,591794936,Animation,Roy Conli,Nathan Greno,Byron Howard
17,Captain America: Civil War,250000000,1151918521,tt3498820,250000000,1153304495,Adventure,Kevin Feige,Anthony Russo,Joe Russo
18,Harry Potter and the Half-Blood Prince,250000000,929411069,tt0417741,250000000,933959197,Adventure,David Heyman,David Barron,David Yates
19,The Hobbit: The Desolation of Smaug,250000000,959358436,tt1170358,250000000,958400000,Adventure,Carolynne Cunningham,Zane Weiner,Fran Walsh
21,The Fate of the Furious,250000000,1236703796,tt4630562,250000000,1238764765,Action,Neal H. Moritz,Vin Diesel,Michael Fottrell
23,Avatar,237000000,2845899541,tt0499549,237000000,2787965087,Action,James Cameron,Jon Landau,James Cameron
24,Superman Returns,232000000,391081192,tt0348150,270000000,391081192,Adventure,Bryan Singer,Jon Peters,Gilbert Adler
25,The Dark Knight Rises,230000000,1082228107,tt1345836,250000000,1084939099,Action,Emma Thomas,Christopher Nolan,Charles Roven
26,Pirates of the Caribbean: Dead Men Tell No Tales,230000000,794861794,tt1790809,230000000,794191988,Adventure,Jerry Bruckheimer,Joachim Rønning,Espen Sandberg
27,Quantum of Solace,230000000,591692078,tt0830515,200000000,586090727,Adventure,Michael G. Wilson,Barbara Broccoli,Marc Forster
28,The Avengers,225000000,1515100211,tt0848228,220000000,1519557910,Science Fiction,Kevin Feige,Joss Whedon,Robert Downey Jr.
30,Man of Steel,225000000,667999518,tt0770828,225000000,662845518,Action,Charles Roven,Christopher Nolan,Emma Thomas
31,The Chronicles of Narnia: Prince Caspian,225000000,417341288,tt0499448,225000000,419651413,Adventure,Mark Johnson,Andrew Adamson,Philip Steuer
32,The Lone Ranger,225000000,260002115,tt1210819,255000000,89289910,Action,Jerry Bruckheimer,Gore Verbinski,Gore Verbinski
33,The Amazing Spider-Man,220000000,757890267,tt0948470,215000000,752215857,Action,Avi Arad,Matt Tolmach,Laura Ziskin
34,Battleship,220000000,313477717,tt1440129,209000000,303025485,Thriller,Peter Berg,Brian Goldner,Scott Stuber
35,Transformers: The Last Knight,217000000,602893340,tt3371366,260000000,604942143,Action,Lorenzo di Bonaventura,Tom DeSanto,Don Murphy
36,Jurassic World,215000000,1669979967,tt0369610,150000000,1513528810,Action,Frank Marshall,Patrick Crowley,Colin Trevorrow
37,Men in Black 3,215000000,654213485,tt1409024,225000000,624026776,Action,Walter F. Parkes,Laurie MacDonald,Barry Sonnenfeld
38,Transformers: Revenge of the Fallen,210000000,836519699,tt1055369,150000000,836297228,Science Fiction,Lorenzo di Bonaventura,Tom DeSanto,Don Murphy
