index,original_title,production_budget,worldwide_gross,imbd_id,budget,revenue,genres,producers,director,starring,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54
1,Pirates of the Caribbean: On Stranger Tides,379000000,1045713802,tt1298650,380000000,1045713802,"['Adventure', 'Action', 'Fantasy']",Jerry Bruckheimer,Rob Marshall,"{'Johnny Depp'""","'""Penélope Cruz'""","'""Ian McShane'""","'""Kevin R. McNally'""","'""Geoffrey Rush'""}""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Avengers: Age of Ultron,365000000,1395316979,tt2395427,280000000,1405403694,"['Action', 'Adventure', 'Science Fiction']",Kevin Feige,Joss Whedon,"{'Robert Downey Jr.'""","'""Chris Hemsworth'""","'""Mark Ruffalo'""","'""Chris Evans'""","'""Scarlett Johansson'""","'""Jeremy Renner'""","'""Don Cheadle'""","'""Aaron Taylor-Johnson'""","'""Elizabeth Olsen'""","'""Paul Bettany'""","'""Cobie Smulders'""","'""Anthony Mackie'""","'""Hayley Atwell'""","'""Idris Elba'""","'""Stellan Skarsgård'""","'""James Spader'""","'""Samuel L. Jackson'""}""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Justice League,300000000,655945209,tt0974015,300000000,657900000,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","{'Charles Roven'""","'""Deborah Snyder'""","'""Jon Berg'""","'""Geoff Johns'""}""",Zack Snyder,"{'Ben Affleck'""","'""Henry Cavill'""","'""Amy Adams'""","'""Gal Gadot'""","'""Ezra Miller'""","'""Jason Momoa'""","'""Ray Fisher'""","'""Jeremy Irons'""","'""Diane Lane'""","'""Connie Nielsen'""","'""J. K. Simmons'""}""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,John Carter,263700000,282778100,tt0401729,260000000,284139100,"['Action', 'Adventure', 'Science Fiction']","{'Jim Morris'""","'""Colin Wilson'""","'""Lindsey Collins'""}""",Andrew Stanton,"{'Taylor Kitsch'""","'""Lynn Collins'""","'""Samantha Morton'""","'""Mark Strong'""","'""Ciarán Hinds'""","'""Dominic West'""","'""James Purefoy'""","'""Willem Dafoe'""}""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Batman v Superman: Dawn of Justice,263000000,872395091,tt2975590,250000000,873260194,"['Action', 'Adventure', 'Fantasy']","{'Charles Roven'""","'""Deborah Snyder'""}""",Zack Snyder,"{'Ben Affleck'""","'""Henry Cavill'""","'""Amy Adams'""","'""Jesse Eisenberg'""","'""Diane Lane'""","'""Laurence Fishburne'""","'""Jeremy Irons'""","'""Holly Hunter'""","'""Gal Gadot'""}""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,The Lion King,260000000,1651023152,tt0110357,45000000,788241776,"['Family', 'Animation', 'Drama']",Don Hahn,"{'Roger Allers'""","'""Rob Minkoff'""}""","{'Matthew Broderick'""","'""James Earl Jones'""","'""Jeremy Irons'""","'""Moira Kelly'""","'""Nathan Lane'""","'""Ernie Sabella'""","'""Robert Guillaume'""","'""Rowan Atkinson'""","'""Madge Sinclair'""","'""Whoopi Goldberg'""","'""Cheech Marin'""","'""Jim Cummings'""}""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Tangled,260000000,584899819,tt0398286,260000000,591794936,"['Animation', 'Family']",Roy Conli,"{'Nathan Greno'""","'""Byron Howard'""}""","{'Mandy Moore'""","'""Zachary Levi'""","'""Donna Murphy'""}""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Captain America: Civil War,250000000,1151918521,tt3498820,250000000,1153304495,"['Adventure', 'Action', 'Science Fiction']",Kevin Feige,"{'Anthony Russo'""","'""Joe Russo'""}""","{'Chris Evans'""","'""Robert Downey Jr.'""","'""Scarlett Johansson'""","'""Sebastian Stan'""","'""Anthony Mackie'""","'""Don Cheadle'""","'""Jeremy Renner'""","'""Chadwick Boseman'""","'""Paul Bettany'""","'""Elizabeth Olsen'""","'""Paul Rudd'""","'""Emily VanCamp'""","'""Tom Holland'""","'""Frank Grillo'""","'""William Hurt'""","'""Daniel Brühl'""}""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Harry Potter and the Half-Blood Prince,250000000,929411069,tt0417741,250000000,933959197,"['Adventure', 'Fantasy', 'Family']","{'David Heyman'""","'""David Barron'""}""",David Yates,"{'Daniel Radcliffe'""","'""Rupert Grint'""","'""Emma Watson'""","'""Jim Broadbent'""","'""Helena Bonham Carter'""","'""Robbie Coltrane'""","'""Warwick Davis'""","'""Michael Gambon'""","'""Alan Rickman'""","'""Maggie Smith'""","'""Timothy Spall'""","'""David Thewlis'""","'""Julie Walters'""}""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,The Hobbit: The Desolation of Smaug,250000000,959358436,tt1170358,250000000,958400000,"['Adventure', 'Fantasy']","{'Carolynne Cunningham'""","'""Zane Weiner'""","'""Fran Walsh'""","'""Peter Jackson'""}""",Peter Jackson,"{'Ian McKellen'""","'""Martin Freeman'""","'""Richard Armitage'""","'""Benedict Cumberbatch'""","'""Evangeline Lilly'""","'""Lee Pace'""","'""Luke Evans'""","'""Stephen Fry'""","'""Ken Stott'""","'""James Nesbitt'""","'""Orlando Bloom'""}""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
