index,original_title,production_budget,worldwide_gross,imdb_id,budget,revenue,genres,director,primary_actor
15,Tangled,260000000,584899819,tt0398286,260000000.0,591794936.0,Animation,"Nathan Greno, Byron Howard",Mandy Moore
37,Men in Black 3,215000000,654213485,tt1409024,225000000.0,624026776.0,Action,Barry Sonnenfeld,Will Smith
759,Sphere,73000000,50168294,tt0120184,75000000.0,13100000.0,Science Fiction,Barry Levinson,Dustin Hoffman
186,Transformers,151000000,708272592,tt0418279,150000000.0,709709780.0,Adventure,Michael Bay,Shia LaBeouf
38,Transformers: Revenge of the Fallen,210000000,836519699,tt1055369,150000000.0,836297228.0,Science Fiction,Michael Bay,Shia LaBeouf
40,X-Men: The Last Stand,210000000,459260946,tt0376994,210000000.0,459359555.0,Adventure,Brett Ratner,Hugh Jackman
41,Robin Hood,210000000,322459006,tt0955308,200000000.0,310669540.0,Action,Ridley Scott,Russell Crowe
317,The Bourne Legacy,125000000,280355920,tt1194173,130000000.0,276572938.0,Action,Tony Gilroy,Jeremy Renner
239,Mr. Peabody & Sherman,145000000,269806430,tt0864835,145000000.0,272912430.0,Animation,Rob Minkoff,Ty Burrell
42,King Kong,207000000,550517357,tt0360717,207000000.0,550000000.0,Adventure,Peter Jackson,Naomi Watts
43,The Golden Compass,205000000,367262558,tt0385752,180000000.0,372234864.0,Adventure,Chris Weitz,Nicole Kidman
47,Titanic,200000000,2207986545,tt0120338,200000000.0,1845034188.0,Drama,James Cameron,Peter Gallagher
47,Titanic,200000000,2207986545,tt0120338,200000000.0,1845034188.0,Drama,James Cameron,Leonardo DiCaprio
587,Showtime,85000000,78948765,tt0284490,85000000.0,77741732.0,Action,Tom Dey,Robert De Niro
492,A Good Day to Die Hard,92000000,304249198,tt1606378,92000000.0,304654182.0,Action,John Moore,Bruce Willis
49,Rogue One: A Star Wars Story,200000000,1055135598,tt3748528,200000000.0,1056057273.0,Action,Gareth Edwards,Felicity Jones
579,Enemy at the Gates,85000000,96971293,tt0215750,68000000.0,96976270.0,War,Jean-Jacques Annaud,Joseph Fiennes
50,Finding Dory,200000000,1025006125,tt2277860,200000000.0,1028570889.0,Adventure,Andrew Stanton,Ellen DeGeneres
706,Grown Ups,75000000,272223000,tt1375670,80000000.0,271430189.0,Comedy,Dennis Dugan,Adam Sandler
52,Toy Story 3,200000000,1068879522,tt0435761,200000000.0,1066969703.0,Animation,Lee Unkrich,Tom Hanks
39,Transformers: Age of Extinction,210000000,1104054072,tt2109248,210000000.0,1091405097.0,Science Fiction,Michael Bay,Mark Wahlberg
799,Wolf,70000000,131011757,tt0111742,70000000.0,131000000.0,Fantasy,Mike Nichols,Jack Nicholson
53,Iron Man 3,200000000,1215392272,tt1300854,200000000.0,1215439994.0,Action,Shane Black,Robert Downey Jr.
814,The Brave One,70000000,69792704,tt0476964,70000000.0,69766619.0,Crime,Neil Jordan,Jodie Foster
991,Under Siege 2: Dark Territory,60000000,104324083,tt0114781,60000000.0,104324083.0,Action,Geoff Murphy,Steven Seagal
58,Alice in Wonderland,200000000,1025491110,tt1014759,200000000.0,1025491110.0,Family,Tim Burton,Johnny Depp
883,The Dictator,65000000,180148897,tt1645170,65000000.0,179379533.0,Comedy,Larry Charles,Sacha Baron Cohen
913,Little Man,64000000,101636047,tt0430304,64000000.0,101595121.0,Comedy,Keenen Ivory Wayans,Marlon Wayans
1064,Life,58000000,101815660,tt0123964,80000000.0,73345029.0,Comedy,Ted Demme,Eddie Murphy
1064,Life,58000000,101815660,tt0123964,80000000.0,73345029.0,Comedy,Ted Demme,Jake Gyllenhaal
61,Monsters University,200000000,743455810,tt1453405,200000000.0,743559607.0,Animation,Dan Scanlon,Billy Crystal
970,Michael Jacksons This Is It,60000000,252091016,tt1477715,60000000.0,261200000.0,Music,Kenny Ortega,Michael Jackson
1127,The Watch,55000000,67130045,tt1298649,68000000.0,68267862.0,Comedy,Akiva Schaffer,Ben Stiller
63,X-Men: Days of Future Past,200000000,747862775,tt1877832,250000000.0,747862775.0,Action,Bryan Singer,Hugh Jackman
1142,Turbulence,55000000,11532774,tt0120390,55000000.0,11466088.0,Action,Robert Butler,Ray Liotta
64,The Amazing Spider-Man 2,200000000,708996336,tt1872181,200000000.0,705717432.0,Action,Marc Webb,Andrew Garfield
70,2012,200000000,757677748,tt1190080,200000000.0,769653595.0,Action,Roland Emmerich,John Cusack
5983,Blue Ruin,420000,437002,tt2359024,420000.0,258384.0,Crime,Jeremy Saulnier,Macon Blair
73,Terminator Salvation,200000000,365491792,tt0438488,200000000.0,371353001.0,Action,McG,Christian Bale
1131,Semi-Pro,55000000,43980363,tt0839980,55000000.0,33472850.0,Comedy,Kent Alterman,Will Ferrell
1173,The Change-Up,52000000,75997067,tt1488555,52000000.0,75450437.0,Comedy,David Dobkin,Ryan Reynolds
75,Green Lantern,200000000,219535492,tt1133985,200000000.0,219851172.0,Adventure,Martin Campbell,Ryan Reynolds
1336,K-PAX,48000000,64978140,tt0272152,48000000.0,50315140.0,Drama,Iain Softley,Kevin Spacey
1516,The Social Network,40000000,224922135,tt1285016,40000000.0,224920315.0,Drama,David Fincher,Jesse Eisenberg
1374,The Bucket List,45000000,174807445,tt0825232,45000000.0,175372502.0,Drama,Rob Reiner,Jack Nicholson
1526,Dumb and Dumber To,40000000,156553592,tt2096672,40000000.0,169837010.0,Comedy,"Bobby Farrelly, Peter Farrelly",Jim Carrey
81,Mulan,200000000,69965374,tt0120762,90000000.0,304320254.0,Animation,"Barry Cook, Tony Bancroft",Ming-Na Wen
1403,Blended,45000000,127990741,tt1086772,40000000.0,123494610.0,Comedy,Frank Coraci,Adam Sandler
1472,Brüno,42000000,138708527,tt0889583,42000000.0,139000000.0,Comedy,Larry Charles,Sacha Baron Cohen
1493,8 Mile,41000000,245768384,tt0298203,41000000.0,215000000.0,Drama,Curtis Hanson,Eminem
1629,Big Miracle,40000000,25268680,tt1430615,40000000.0,24719215.0,Adventure,Ken Kwapis,Drew Barrymore
1554,Invincible,40000000,58501127,tt0445990,30000000.0,57806952.0,Drama,Ericson Core,Mark Wahlberg
1733,The Express,37500000,9813309,tt0469903,40000000.0,9793496.0,Drama,Gary Fleder,Dennis Quaid
1586,The Guilt Trip,40000000,41294674,tt1694020,40000000.0,41863726.0,Comedy,Anne Fletcher,Barbra Streisand
1764,Ghosts of Mississippi,36000000,13052741,tt0116410,36000000.0,13323144.0,History,Rob Reiner,Alec Baldwin
84,Transformers: Dark of the Moon,195000000,1123794079,tt1399103,195000000.0,1123746996.0,Action,Michael Bay,Shia LaBeouf
1711,Push,38000000,49678401,tt0465580,38000000.0,45465299.0,Action,Paul McGuigan,Chris Evans
85,The Mummy,195000000,409953905,tt2345759,125000000.0,407778013.0,Thriller,Alex Kurtzman,Brendan Fraser
85,The Mummy,195000000,409953905,tt2345759,125000000.0,407778013.0,Thriller,Alex Kurtzman,Tom Cruise
1799,The Benchwarmers,35000000,65063726,tt0437863,33000000.0,65000000.0,Comedy,Dennis Dugan,Rob Schneider
85,The Mummy,195000000,409953905,tt0120616,80000000.0,415885488.0,Adventure,Stephen Sommers,Brendan Fraser
85,The Mummy,195000000,409953905,tt0120616,80000000.0,415885488.0,Adventure,Stephen Sommers,Tom Cruise
2007,Analyze This,30000000,176885658,tt0122933,80000000.0,176885658.0,Comedy,Harold Ramis,Robert De Niro
