index,original_title,starring
5246,Religulous,Bill Maher
816,Bad Company,"Anthony Hopkins, Chris Rock, Gabriel Macht"
754,The Lost City,"Andy García, Dustin Hoffman, Bill Murray, Inés Sastre, Tomás Milián"
4743,Bottle Rocket,
5379,Inside Deep Throat,
526,The Interpreter,"Nicole Kidman, Sean Penn, Catherine Keener"
4309,Persepolis,"Chiara Mastroianni, Catherine Deneuve"
3504,Snow Day,"Chris Elliott, Mark Webber, Jean Smart, Chevy Chase"
4912,Samsara,
3933,Turistas,"Josh Duhamel, Melissa George, Olivia Wilde, Desmond Askew, Beau Garrett, Max Brown, Agles Steib, Miguel Lunardi"
5937,Scott Walker: 30 Century Man,Scott Walker
2643,Stone,"Robert De Niro, Edward Norton, Milla Jovovich, Frances Conroy"
3483,Teenage Mutant Ninja Turtles,"Judith Hoag, Elias Koteas"
5692,"Food, Inc.","Eric Schlosser, Michael Pollan"
6274,Primer,"Shane Carruth, David Sullivan"
353,The Wolverine,"Hugh Jackman, Hiroyuki Sanada, Famke Janssen, Will Yun Lee"
2131,Alex & Emma,"Kate Hudson, Luke Wilson"
2452,Maximum Risk,"Jean-Claude Van Damme, Natasha Henstridge"
2048,Atomic Blonde,"Charlize Theron, James McAvoy"
1385,The Bounty Hunter,"Jennifer Aniston, Gerard Butler"
577,The Fast and the Furious: Tokyo Drift,"Lucas Black, Bow Wow"
2519,Old School,"Luke Wilson, Will Ferrell, Vince Vaughn"
1544,The Mexican,"Julia Roberts, Brad Pitt, James Gandolfini, J. K. Simmons"
3726,Carol,"Cate Blanchett, Rooney Mara, Sarah Paulson, Jake Lacy, Kyle Chandler"
3786,LOL,"Kevin Bewersdorf, Joe Swanberg, C. Mason Wells, Tipper Newton, Brigid Reagan, Greta Gerwig, Kate Winterich"
839,Ted 2,"Mark Wahlberg, Seth MacFarlane, Amanda Seyfried, Giovanni Ribisi, Jessica Barth, John Slattery, Morgan Freeman"
3929,While We're Young,"Ben Stiller, Naomi Watts, Adam Driver, Amanda Seyfried, Charles Grodin, Adam Horovitz"
4357,Get Low,"Robert Duvall, Sissy Spacek, Bill Murray, Lucas Black, Bill Cobbs"
1123,Ronin,"Robert De Niro, Jean Reno, Natascha McElhone, Stellan Skarsgård, Sean Bean, Jonathan Pryce"
1283,Hellboy,"Ron Perlman, Selma Blair, Jeffrey Tambor, Karel Roden, Rupert Evans, John Hurt"
1784,Saving Mr. Banks,"Emma Thompson, Tom Hanks, Paul Giamatti, Jason Schwartzman, Bradley Whitford, Colin Farrell"
1279,Twisted,"Ashley Judd, Samuel L. Jackson, Andy García"
1038,Holy Man,"Eddie Murphy, Jeff Goldblum, Kelly Preston, Robert Loggia, Jon Cryer"
2773,The Stepfather,"Dylan Walsh, Sela Ward, Penn Badgley, Amber Heard, Jon Tenney"
840,The Score,"Robert De Niro, Edward Norton, Angela Bassett, Marlon Brando"
441,Land of the Lost,"Will Ferrell, Anna Friel, Danny McBride, Jorma Taccone"
1175,Man on the Moon,"Jim Carrey, Danny DeVito, Courtney Love, Paul Giamatti"
1187,22 Jump Street,"Jonah Hill, Channing Tatum, Peter Stormare, Ice Cube"
1186,Ted,"Mark Wahlberg, Mila Kunis, Seth MacFarlane, Joel McHale, Giovanni Ribisi"
1286,Dream House,"Daniel Craig, Rachel Weisz, Naomi Watts, Marton Csokas"
1622,At First Sight,"Val Kilmer, Mira Sorvino, Kelly McGillis, Steven Weber, Bruce Davison, Nathan Lane"
1581,Sex Tape,"Cameron Diaz, Jason Segel, Rob Corddry, Ellie Kemper, Rob Lowe"
1880,Whiteout,"Kate Beckinsale, Tom Skerritt, Columbus Short, Gabriel Macht"
1446,Argo,"Ben Affleck, Bryan Cranston, Alan Arkin, John Goodman"
2263,Limitless,"Bradley Cooper, Abbie Cornish, Robert De Niro, Andrew Howard, Anna Friel"
1501,The Karate Kid,"Jaden Smith, Jackie Chan, Taraji P. Henson"
2570,Joy Ride,"Steve Zahn, Paul Walker, Leelee Sobieski"
1590,Hanging Up,"Meg Ryan, Diane Keaton, Lisa Kudrow, Walter Matthau, Adam Arkin"
1842,Predator 2,"Danny Glover, Gary Busey, Rubén Blades, María Conchita Alonso, Bill Paxton, Robert Davi"
2775,Stick It,"Jeff Bridges, Missy Peregrym, Vanessa Lengies"
3637,Top Five,"Chris Rock, Rosario Dawson"
3645,Just Wright,"Queen Latifah,Common,Paula Patton"
3675,Fortress,"Bug Hall, Donnie Jeffcoat, Sean McGowan, Joseph Williamson"
1940,The Reader,"Kate Winslet, Ralph Fiennes, David Kross, Lena Olin, Bruno Ganz"
4229,Showdown in Little Tokyo,"Dolph Lundgren, Brandon Lee"
3262,Cop Land,"Sylvester Stallone, Harvey Keitel, Ray Liotta, Robert De Niro, Peter Berg, Janeane Garofalo, Robert Patrick, Michael Rapaport, Annabella Sciorra"
3263,Wag the Dog,"Dustin Hoffman, Robert De Niro, Anne Heche, Denis Leary, Willie Nelson, Andrea Martin, Kirsten Dunst"
3267,End of Watch,"Jake Gyllenhaal, Michael Peña, Anna Kendrick, Natalie Martinez, America Ferrera, Frank Grillo, David Harbour"
1799,The Benchwarmers,"Rob Schneider, David Spade, Jon Heder"
2212,Safe Haven,"Josh Duhamel, Julianne Hough, Cobie Smulders, David Lyons"
2399,Jeepers Creepers 2,"Ray Wise, Jonathan Breck"
2342,Gran Torino,Clint Eastwood
2732,Premonition,"Sandra Bullock, Julian McMahon, Nia Long, Kate Nelligan, Amber Valletta, Courtney Taylor Burness, Shyann McClure"
3611,Step Up,"Channing Tatum, Jenna Dewan,Mario,Drew Sidora"
3673,Screwed,"Norm Macdonald, Dave Chappelle, Elaine Stritch, Daniel Benzali, Sherman Hemsley, Danny DeVito"
4028,White Noise 2: The Light,"Nathan Fillion, Katee Sackhoff, Craig Fairbrass, Tegan Moss"
4200,Much Ado About Nothing,"Kenneth Branagh, Michael Keaton, Robert Sean Leonard, Keanu Reeves, Emma Thompson, Denzel Washington"
4691,Win Win,"Paul Giamatti, Alex Shaffer, Amy Ryan, Bobby Cannavale"
5389,The Last Five Years,"Anna Kendrick, Jeremy Jordan"
4248,Restless,"Henry Hopper, Mia Wasikowska"
125,Up,"Ed Asner, Christopher Plummer, Jordan Nagai, Bob Peterson, Pete Docter"
913,Little Man,"Marlon Wayans, Shawn Wayans, Kerry Washington"
736,Bandits,"Bruce Willis, Billy Bob Thornton, Cate Blanchett"
1185,Shrek,"Mike Myers, Eddie Murphy, Cameron Diaz, John Lithgow"
1255,The Beach,"Leonardo DiCaprio, Tilda Swinton, Virginie Ledoyen, Guillaume Canet, Robert Carlyle"
1064,Life,"Eddie Murphy, Martin Lawrence"
1646,Alfie,"Jude Law, Marisa Tomei, Susan Sarandon"
1733,The Express,"Dennis Quaid, Rob Brown"
2041,Corpse Bride,"Johnny Depp, Helena Bonham Carter"
1924,Exit Wounds,"Steven Seagal,DMX"
2394,Kiss of the Dragon,"Jet Li, Bridget Fonda, Tchéky Karyo"
4197,Shutter,"Joshua Jackson, Rachael Taylor, Megumi Okina"
4758,Stuck,"Mena Suvari, Stephen Rea"
5670,An Inconvenient Truth,Al Gore
5908,Wordplay,
1119,Muppets Most Wanted,"Ricky Gervais, Ty Burrell, Tina Fey"
470,Cinderella,
3450,Dead Man on Campus,"Tom Everett Scott, Mark-Paul Gosselaar"
3968,Bucky Larson: Born to Be a Star,"Nick Swardson, Christina Ricci, Stephen Dorff, Don Johnson"
1578,Fever Pitch,"Drew Barrymore, Jimmy Fallon"
1653,Duplex,"Ben Stiller, Drew Barrymore, Eileen Essell"
2505,Matilda,"Danny DeVito, Rhea Perlman, Embeth Davidtz, Pam Ferris, Mara Wilson"
2603,Son of God,"Diogo Morgado, Roma Downey"
3546,Birthday Girl,"Nicole Kidman, Ben Chaplin"
3908,The Matador,"Pierce Brosnan, Greg Kinnear, Hope Davis, Philip Baker Hall"
3308,Flicka,"Alison Lohman, Tim McGraw, Maria Bello"
958,Days of Thunder,"Tom Cruise, Robert Duvall, Randy Quaid, Nicole Kidman, Michael Rooker, John C. Reilly, Cary Elwes"
451,Point Break,"Patrick Swayze, Keanu Reeves, Gary Busey, Lori Petty"
1619,Renaissance Man,"Danny DeVito, Gregory Hines, James Remar, Cliff Robertson"
1876,The Shipping News,"Kevin Spacey, Julianne Moore, Judi Dench, Cate Blanchett"
2432,CHiPS,"Dax Shepard, Michael Peña, Rosa Salazar, Adam Brody, Vincent DOnofrio"
3081,Hotel Rwanda,"Don Cheadle, Sophie Okonedo, Joaquin Phoenix, Nick Nolte"
4139,Heist,"Gene Hackman, Danny DeVito, Delroy Lindo"
4289,Shopgirl,"Steve Martin, Claire Danes, Jason Schwartzman"
5710,Patti Cake$,"Danielle Macdonald, Bridget Everett, Siddharth Dhananjay, Mamoudou Athie, McCaul Lombardi"
5265,8: The Mormon Proposition,
5476,Dysfunctional Friends,"Stacey Dash, Reagan Gomez-Preston, Wesley Jonathan, Datari Turner, Tatyana Ali, Meagan Good, Jason Weaver, Persia White, Terrell Owens, Stacy Keibler, Hosea Chanchez, Christian Keyes, Meghan Markle"
6005,Trekkies,"Denise Crosby,(interviewer)"
27,Quantum of Solace,"Daniel Craig, Olga Kurylenko, Mathieu Amalric, Gemma Arterton, Giancarlo Giannini, Jeffrey Wright, Judi Dench"
3024,127 Hours,"James Franco, Kate Mara, Amber Tamblyn"
3679,From Justin to Kelly,"Kelly Clarkson, Justin Guarini"
3996,The Brown Bunny,"Vincent Gallo, Chloë Sevigny"
339,RoboCop,"Joel Kinnaman, Gary Oldman, Michael Keaton, Abbie Cornish, Jackie Earle Haley, Michael K. Williams, Jennifer Ehle, Jay Baruchel, Samuel L. Jackson"
284,Home,"Jim Parsons,Rihanna,Steve Martin, Jennifer Lopez, Matt Jones"
4823,Bound,"Jennifer Tilly, Gina Gershon, Joe Pantoliano, John Ryan"
1403,Blended,"Adam Sandler, Drew Barrymore"
555,Cast Away,"Tom Hanks, Helen Hunt, Nick Searcy"
3962,Romeo Is Bleeding,"Gary Oldman, Lena Olin, Annabella Sciorra, Juliette Lewis, Roy Scheider"
1099,Maid in Manhattan,"Jennifer Lopez, Ralph Fiennes, Natasha Richardson, Stanley Tucci, Bob Hoskins"
2217,Miracle,"Kurt Russell, Patricia Clarkson, Noah Emmerich"
4500,Bernie,"Jack Black, Shirley MacLaine, Matthew McConaughey"
4551,Men of War,"Dolph Lundgren, Charlotte Lewis"
4642,No Escape,"Owen Wilson, Lake Bell, Sterling Jerins, Claire Geare, Pierce Brosnan"
3561,Brothers,"Tobey Maguire, Jake Gyllenhaal, Natalie Portman"
3565,The Killer Inside Me,"Casey Affleck, Jessica Alba, Kate Hudson, Bill Pullman"
3823,Saw IV,"Tobin Bell, Scott Patterson, Costas Mandylor, Betsy Russell, Lyriq Bent"
1267,Assassins,"Sylvester Stallone, Antonio Banderas, Julianne Moore"
1780,The Devil Wears Prada,"Meryl Streep, Anne Hathaway, Emily Blunt, Stanley Tucci, Simon Baker, Adrian Grenier"
1452,The Interview,"James Franco, Seth Rogen, Lizzy Caplan, Randall Park"
1032,The Last Castle,"Robert Redford, James Gandolfini, Mark Ruffalo, Delroy Lindo"
773,Shrek 2,"Mike Myers, Eddie Murphy, Cameron Diaz, Julie Andrews, Antonio Banderas, John Cleese, Rupert Everett, Jennifer Saunders"
1103,City of Angels,"Nicolas Cage, Meg Ryan, Dennis Franz, Andre Braugher"
2004,The Addams Family,"Anjelica Huston, Raúl Juliá, Christopher Lloyd"
2090,Deliver Us from Evil,"Eric Bana, Édgar Ramírez, Olivia Munn, Sean Harris, Joel McHale"
2281,The Honeymooners,"Cedric the Entertainer, Mike Epps, Gabrielle Union, Regina Hall, Eric Stoltz, John Leguizamo"
2821,Paparazzi,"Cole Hauser, Robin Tunney, Dennis Farina, Daniel Baldwin, Tom Sizemore"
3576,The Emperor's Club,Kevin Kline
5804,The Quiet,"Camilla Belle, Elisha Cuthbert, Martin Donovan, Edie Falco, Shawn Ashmore"
3499,Black Swan,"Natalie Portman, Vincent Cassel, Mila Kunis, Barbara Hershey, Winona Ryder"
3749,Wind River,"Jeremy Renner, Elizabeth Olsen"
4412,Dazed and Confused,"See,Cast section"
5707,Slam,"Saul Williams, Sonja Sohn, Marc Levin, Bonz Malone, Beau Sia"
2822,A Guy Thing,"Jason Lee, Julia Stiles, Selma Blair"
3268,The Faculty,"Jordana Brewster, Clea DuVall, Laura Harris, Josh Hartnett, Shawn Hatosy, Famke Janssen, Piper Laurie, Bebe Neuwirth, Robert Patrick, Usher Raymond, Jon Stewart, Elijah Wood"
3270,Not Another Teen Movie,"Chyler Leigh, Chris Evans, Jaime Pressly, Eric Christian Olsen, Eric Jungmann, Mia Kirshner, Deon Richmond, Cody McMains, Sam Huntington, Samm Levine, Cerina Vincent, Ron Lester, Lacey Chabert, Riley Smith"
3274,Drive,"Ryan Gosling, Carey Mulligan, Bryan Cranston, Christina Hendricks, Ron Perlman, Oscar Isaac, Albert Brooks"
3274,Drive,"Mark Dacascos, Kadeem Hardison, Brittany Murphy, Tracey Walter, John Pyper-Ferguson"
3275,The Skulls,"Joshua Jackson, Paul Walker, Hill Harper, Leslie Bibb, Christopher McDonald, Steve Harris, William Petersen, Craig T. Nelson"
3279,All About Steve,"Sandra Bullock, Bradley Cooper, Thomas Haden Church"
3280,Where the Heart Is,"Natalie Portman, Ashley Judd, Stockard Channing, Joan Cusack"
3280,Where the Heart Is,"Dabney Coleman, Uma Thurman, Joanna Cassidy, Crispin Glover, Suzy Amis, Christopher Plummer"
3282,The Last House on the Left,"Tony Goldwyn, Monica Potter, Garret Dillahunt, Spencer Treat Clark, Martha MacIsaac, Sara Paxton"
3283,Because of Winn-Dixie,"AnnaSophia Robb, Jeff Daniels, Cicely Tyson, Luke Benward, Dave Matthews, Eva Marie Saint"
